#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,SEASON
1.0,Stephen Curry,GSW,63.0,34.2,32.0,10.4,21.7,48.2,5.3,12.7,42.1,5.7,6.3,91.6,0.5,5.0,5.5,5.8,1.2,0.1,3.4,29.4,2020-21
2.0,Bradley Beal,WAS,60.0,35.8,31.3,11.2,23.0,48.5,2.2,6.2,34.9,6.8,7.7,88.9,1.2,3.5,4.7,4.4,1.2,0.4,3.1,26.1,2020-21
3.0,Damian Lillard,POR,67.0,35.8,28.8,9.0,19.9,45.1,4.1,10.5,39.1,6.7,7.2,92.8,0.5,3.7,4.2,7.5,0.9,0.3,3.0,27.2,2020-21
4.0,Joel Embiid,PHI,51.0,31.1,28.5,9.0,17.6,51.3,1.1,3.0,37.7,9.2,10.7,85.9,2.2,8.4,10.6,2.8,1.0,1.4,3.1,31.0,2020-21
5.0,Giannis Antetokounmpo,MIL,61.0,33.0,28.1,10.3,18.0,56.9,1.1,3.6,30.3,6.5,9.5,68.5,1.6,9.4,11.0,5.9,1.2,1.2,3.4,33.2,2020-21
6.0,Luka Doncic,DAL,66.0,34.3,27.7,9.8,20.5,47.9,2.9,8.3,35.0,5.2,7.1,73.0,0.8,7.2,8.0,8.6,1.0,0.5,4.3,29.0,2020-21
7.0,Zach LaVine,CHI,58.0,35.1,27.4,9.8,19.4,50.7,3.4,8.2,41.9,4.4,5.1,84.9,0.6,4.4,5.0,4.9,0.8,0.5,3.5,24.7,2020-21
8.0,Zion Williamson,NOP,61.0,33.2,27.0,10.4,17.0,61.1,0.2,0.6,29.4,6.0,8.7,69.8,2.7,4.5,7.2,3.7,0.9,0.6,2.7,27.5,2020-21
9.0,Kyrie Irving,BKN,54.0,34.9,26.9,10.2,20.1,50.6,2.8,7.0,40.2,3.7,4.0,92.2,1.0,3.8,4.8,6.0,1.4,0.7,2.4,27.1,2020-21
10.0,Jayson Tatum,BOS,64.0,35.8,26.4,9.5,20.6,45.9,2.9,7.6,38.6,4.6,5.3,86.8,0.8,6.6,7.4,4.3,1.2,0.5,2.7,25.3,2020-21
11.0,Donovan Mitchell,UTA,53.0,33.4,26.4,9.0,20.6,43.8,3.4,8.7,38.6,5.0,6.0,84.5,0.9,3.5,4.4,5.2,1.0,0.3,2.8,22.1,2020-21
12.0,Nikola Jokic,DEN,72.0,34.6,26.4,10.2,18.0,56.6,1.3,3.3,38.8,4.8,5.5,86.8,2.8,8.0,10.8,8.3,1.3,0.7,3.1,35.9,2020-21
13.0,Devin Booker,PHX,67.0,33.9,25.6,9.3,19.2,48.4,1.9,5.5,34.0,5.1,5.9,86.7,0.5,3.7,4.2,4.3,0.8,0.2,3.1,21.3,2020-21
14.0,Trae Young,ATL,63.0,33.7,25.3,7.7,17.7,43.8,2.2,6.3,34.3,7.7,8.7,88.6,0.6,3.3,3.9,9.4,0.8,0.2,4.1,24.6,2020-21
15.0,De'Aaron Fox,SAC,58.0,35.1,25.2,9.1,19.1,47.7,1.8,5.5,32.2,5.2,7.2,71.9,0.6,2.9,3.5,7.2,1.5,0.5,3.0,22.8,2020-21
16.0,Kawhi Leonard,LAC,52.0,34.1,24.8,8.9,17.5,51.2,1.9,4.9,39.8,5.0,5.7,88.5,1.1,5.4,6.5,5.2,1.6,0.4,2.0,27.3,2020-21
17.0,Jaylen Brown,BOS,58.0,34.5,24.7,9.3,19.2,48.4,2.8,7.1,39.7,3.3,4.3,76.4,1.2,4.8,6.0,3.4,1.2,0.6,2.7,22.2,2020-21
18.0,Collin Sexton,CLE,60.0,35.3,24.3,8.8,18.4,47.5,1.6,4.4,37.1,5.2,6.4,81.5,1.0,2.2,3.1,4.4,1.0,0.2,2.8,19.4,2020-21
19.0,Julius Randle,NYK,71.0,37.6,24.1,8.5,18.6,45.6,2.3,5.5,41.1,4.9,6.0,81.1,1.2,9.0,10.2,6.0,0.9,0.3,3.4,26.8,2020-21
20.0,Brandon Ingram,NOP,61.0,34.3,23.8,8.4,18.0,46.6,2.3,6.1,38.1,4.6,5.2,87.8,0.6,4.3,4.9,4.9,0.7,0.6,2.5,22.0,2020-21
21.0,Nikola Vucevic,CHI,70.0,33.5,23.4,9.5,19.9,47.7,2.5,6.3,40.0,1.9,2.2,84.0,2.1,9.6,11.7,3.8,0.9,0.7,1.8,28.0,2020-21
22.0,Paul George,LAC,54.0,33.7,23.3,8.2,17.6,46.7,3.2,7.7,41.1,3.7,4.2,86.8,0.8,5.8,6.6,5.2,1.1,0.4,3.3,23.5,2020-21
23.0,Jerami Grant,DET,54.0,33.9,22.3,7.4,17.3,42.9,2.1,6.1,35.0,5.4,6.4,84.5,0.6,4.0,4.6,2.8,0.6,1.1,2.0,18.6,2020-21
24.0,Russell Westbrook,WAS,65.0,36.4,22.2,8.4,19.0,43.9,1.3,4.2,31.5,4.2,6.4,65.6,1.7,9.9,11.5,11.7,1.4,0.4,4.8,29.6,2020-21
25.0,DeMar DeRozan,SAS,61.0,33.7,21.6,7.5,15.1,49.5,0.3,1.2,25.7,6.3,7.2,88.0,0.7,3.6,4.2,6.9,0.9,0.2,2.0,23.5,2020-21
26.0,Jimmy Butler,MIA,52.0,33.6,21.5,7.0,14.2,49.7,0.5,2.0,24.5,6.9,8.0,86.3,1.8,5.1,6.9,7.1,2.1,0.3,2.1,27.6,2020-21
27.0,Pascal Siakam,TOR,56.0,35.8,21.4,7.8,17.2,45.5,1.3,4.4,29.7,4.4,5.4,82.7,1.7,5.5,7.2,4.5,1.1,0.7,2.3,22.3,2020-21
28.0,Malcolm Brogdon,IND,56.0,34.5,21.2,7.9,17.5,45.3,2.6,6.7,38.8,2.7,3.2,86.4,1.0,4.2,5.3,5.9,0.9,0.3,2.1,21.4,2020-21
29.0,Terry Rozier,CHA,69.0,34.5,20.4,7.4,16.4,45.0,3.2,8.3,38.9,2.4,2.9,81.7,0.7,3.7,4.4,4.2,1.3,0.4,1.9,19.2,2020-21
30.0,Khris Middleton,MIL,68.0,33.4,20.4,7.5,15.8,47.6,2.2,5.4,41.4,3.1,3.5,89.8,0.8,5.2,6.0,5.4,1.1,0.1,2.6,21.8,2020-21
31.0,Domantas Sabonis,IND,62.0,36.0,20.3,7.8,14.6,53.5,0.8,2.6,32.1,3.9,5.3,73.2,2.4,9.5,12.0,6.7,1.2,0.5,3.4,29.1,2020-21
32.0,Fred VanVleet,TOR,52.0,36.5,19.6,6.5,16.7,38.9,3.3,9.2,36.6,3.3,3.7,88.5,0.6,3.6,4.2,6.3,1.7,0.7,1.8,20.0,2020-21
33.0,Tobias Harris,PHI,62.0,32.5,19.5,7.6,14.9,51.2,1.3,3.4,39.4,2.9,3.3,89.2,1.0,5.8,6.8,3.5,0.9,0.8,1.7,22.2,2020-21
34.0,Anthony Edwards,MIN,72.0,32.1,19.3,7.0,16.8,41.7,2.4,7.2,32.9,2.9,3.8,77.6,0.8,3.8,4.7,2.9,1.1,0.5,2.2,15.7,2020-21
35.0,Ja Morant,MEM,63.0,32.6,19.1,6.8,15.2,44.9,1.2,3.8,30.3,4.3,5.9,72.8,0.9,3.1,4.0,7.4,0.9,0.2,3.2,18.4,2020-21
36.0,Michael Porter Jr.,DEN,61.0,31.3,19.0,7.3,13.4,54.2,2.8,6.3,44.5,1.7,2.2,79.1,1.5,5.8,7.3,1.1,0.7,0.9,1.3,21.2,2020-21
37.0,Bam Adebayo,MIA,64.0,33.5,18.7,7.1,12.5,57.0,0.0,0.1,25.0,4.4,5.5,79.9,2.2,6.7,9.0,5.4,1.2,1.0,2.6,26.1,2020-21
38.0,Norman Powell,POR,69.0,32.0,18.6,6.3,13.3,47.7,2.5,6.0,41.1,3.4,3.9,87.1,0.6,2.5,3.1,1.9,1.2,0.3,1.7,15.8,2020-21
39.0,Andrew Wiggins,GSW,71.0,33.3,18.6,7.1,14.9,47.7,2.0,5.2,38.0,2.4,3.4,71.4,1.2,3.7,4.9,2.4,0.9,1.0,1.8,17.2,2020-21
40.0,Jordan Clarkson,UTA,68.0,26.7,18.4,6.7,15.8,42.5,3.1,8.8,34.7,1.9,2.1,89.6,0.7,3.3,4.0,2.5,0.9,0.1,1.7,14.9,2020-21
41.0,Jrue Holiday,MIL,59.0,32.3,17.7,7.0,13.9,50.3,1.9,4.8,39.2,1.8,2.3,78.7,1.2,3.3,4.5,6.1,1.6,0.6,2.2,21.0,2020-21
42.0,John Collins,ATL,63.0,29.3,17.6,6.8,12.2,55.6,1.3,3.3,39.9,2.7,3.2,83.3,1.9,5.5,7.4,1.2,0.5,1.0,1.3,20.5,2020-21
43.0,RJ Barrett,NYK,72.0,34.9,17.6,6.5,14.7,44.1,1.7,4.3,40.1,2.9,3.8,74.6,0.9,4.8,5.8,3.0,0.7,0.3,1.9,16.2,2020-21
44.0,Darius Garland,CLE,54.0,33.1,17.4,6.7,14.9,45.1,1.9,4.9,39.5,2.1,2.4,84.8,0.4,2.0,2.4,6.1,1.2,0.1,3.0,15.7,2020-21
45.0,Dillon Brooks,MEM,67.0,29.8,17.2,6.4,15.4,41.9,1.9,5.6,34.4,2.4,2.9,81.5,0.8,2.1,2.9,2.3,1.2,0.4,1.8,12.7,2020-21
46.0,Jonas Valanciunas,MEM,62.0,28.3,17.1,7.1,12.0,59.2,0.3,0.9,36.8,2.5,3.3,77.3,4.1,8.4,12.5,1.8,0.6,0.9,1.6,25.6,2020-21
47.0,Bojan Bogdanovic,UTA,72.0,30.8,17.0,5.6,12.8,43.9,2.5,6.4,39.0,3.2,3.7,87.9,0.6,3.3,3.9,1.9,0.6,0.1,1.8,14.1,2020-21
48.0,Tim Hardaway Jr.,DAL,70.0,28.4,16.6,5.8,13.0,44.7,3.0,7.6,39.1,2.0,2.5,81.6,0.3,3.0,3.3,1.8,0.4,0.2,0.9,13.7,2020-21
49.0,Buddy Hield,SAC,71.0,34.3,16.6,5.7,14.0,40.6,4.0,10.2,39.1,1.2,1.5,84.6,0.4,4.3,4.7,3.6,0.9,0.4,1.8,15.8,2020-21
50.0,Chris Paul,PHX,70.0,31.4,16.4,6.3,12.6,49.9,1.5,3.7,39.5,2.4,2.6,93.4,0.4,4.1,4.5,8.9,1.4,0.3,2.2,22.8,2020-21
51.0,Mike Conley,UTA,51.0,29.4,16.2,5.6,12.5,44.4,2.7,6.6,41.2,2.4,2.8,85.2,0.7,2.8,3.5,6.0,1.4,0.2,1.9,17.9,2020-21
52.0,Harrison Barnes,SAC,58.0,36.2,16.1,5.5,11.1,49.7,1.7,4.4,39.1,3.4,4.1,83.0,1.1,5.5,6.6,3.5,0.7,0.2,1.6,19.3,2020-21
53.0,LaMelo Ball,CHA,51.0,28.8,15.7,5.7,13.2,43.6,1.8,5.1,35.2,2.5,3.2,75.8,1.2,4.7,5.9,6.1,1.6,0.4,2.8,18.7,2020-21
54.0,Dejounte Murray,SAS,67.0,31.9,15.7,6.6,14.5,45.3,0.9,3.0,31.7,1.6,2.0,79.1,0.9,6.2,7.1,5.4,1.5,0.1,1.7,19.7,2020-21
55.0,Kelly Oubre Jr.,GSW,55.0,30.7,15.4,5.8,13.2,43.9,1.6,5.2,31.6,2.2,3.2,69.5,1.5,4.5,6.0,1.3,1.0,0.8,1.3,14.9,2020-21
56.0,Dennis Schroder,LAL,61.0,32.1,15.4,5.4,12.5,43.7,1.2,3.5,33.5,3.4,4.0,84.8,0.5,3.0,3.5,5.8,1.1,0.2,2.7,15.7,2020-21
57.0,Gary Trent Jr.,TOR,58.0,31.1,15.3,5.5,13.5,40.8,2.8,7.4,38.5,1.4,1.8,78.3,0.5,2.2,2.6,1.4,1.0,0.2,0.7,11.3,2020-21
58.0,Clint Capela,ATL,63.0,30.1,15.2,6.6,11.0,59.4,0.0,0.0,0.0,2.1,3.6,57.3,4.7,9.6,14.3,0.8,0.7,2.0,1.2,25.9,2020-21
59.0,Tyler Herro,MIA,54.0,30.3,15.1,5.7,12.9,43.9,2.0,5.5,36.0,1.7,2.2,80.3,0.5,4.5,5.0,3.4,0.6,0.3,1.9,14.9,2020-21
60.0,Coby White,CHI,69.0,31.2,15.1,5.4,13.1,41.6,2.4,6.6,35.9,1.9,2.1,90.1,0.4,3.7,4.1,4.8,0.6,0.2,2.3,14.6,2020-21
61.0,Devonte' Graham,CHA,55.0,30.2,14.8,4.6,12.2,37.7,3.3,8.7,37.5,2.4,2.9,84.2,0.4,2.3,2.7,5.4,0.9,0.1,1.5,14.3,2020-21
